timestamp,service,C,I,B,P,R,score,status,attack_type,label
2026-03-29T12:40:37.522568,service-orders,1.0,1.0,0.5556,1.0,1.0,0.8889,HEALTHY,none,0
2026-03-29T12:40:59.116176,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:41:01.233482,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:41:09.128632,service-orders,1.0,1.0,0.5556,1.0,1.0,0.8889,HEALTHY,none,0
2026-03-29T12:41:31.323468,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:41:37.129078,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:41:46.931091,service-orders,1.0,1.0,0.6667,1.0,1.0,0.9167,HEALTHY,none,0
2026-03-29T12:41:48.168032,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:42:03.127300,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:42:08.645801,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:42:18.437987,service-orders,1.0,1.0,0.7778,1.0,1.0,0.9444,HEALTHY,none,0
2026-03-29T12:42:24.280906,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:42:35.822029,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:42:41.350903,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:42:50.423111,service-orders,1.0,1.0,0.8889,1.0,1.0,0.9722,HEALTHY,none,0
2026-03-29T12:42:56.796780,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:43:08.292929,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:43:14.127106,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:43:24.943345,service-orders,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:43:30.085529,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:43:40.990252,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:43:46.631524,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:43:59.439569,service-orders,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:44:02.793365,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:44:12.891662,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:44:19.341676,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:44:31.336610,service-orders,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:44:37.863053,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:44:49.222057,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:44:53.152290,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:45:06.150829,service-orders,1.0,1.0,0.7778,1.0,1.0,0.9444,HEALTHY,none,0
2026-03-29T12:45:11.262031,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:45:20.848675,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:45:26.758716,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:45:41.031221,service-orders,1.0,1.0,0.7778,1.0,1.0,0.9444,HEALTHY,none,0
2026-03-29T12:45:44.286880,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:45:53.525557,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:45:59.953611,service-notification,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:46:12.726770,service-orders,1.0,1.0,0.7778,1.0,1.0,0.9444,HEALTHY,none,0
2026-03-29T12:46:17.665268,service-auth,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
2026-03-29T12:46:27.120538,service-payment,1.0,1.0,1.0,1.0,1.0,1.0,HEALTHY,none,0
